DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-12-13,423.55,419.65,424.3,415.0,419.9,4848408,2030865280.15,99654
2023-12-12,420.7,422.2,427.9,420.15,422.0,5951682,2523631269.95,117032
2023-12-11,420.0,420.6,422.2,417.25,420.0,5042121,2119333559.45,101686
2023-12-08,418.8,422.6,424.5,415.0,424.0,7739561,3254503888.5,132597
2023-12-07,420.0,418.25,421.5,416.65,418.3,5625276,2355600588.35,105558
2023-12-06,406.75,418.75,420.4,405.95,420.3,11041035,4573770109.1,155387
2023-12-05,407.4,404.35,409.0,402.1,404.65,5582684,2257860909.45,94367
2023-12-04,412.7,407.45,413.0,406.75,407.3,5331236,2178524098.9,92832
2023-12-01,413.75,407.65,413.75,406.5,407.1,4915213,2007634999.6,94634
2023-11-30,406.95,413.05,414.5,404.05,411.8,9912979,4064852962.85,139985
2023-11-29,398.0,406.25,408.55,398.0,406.05,7772043,3149535327.95,108955
2023-11-28,397.0,396.85,398.75,393.1,397.2,4072657,1610943054.25,93527
2023-11-24,402.5,396.0,403.5,395.55,396.0,3125283,1244299168.6,69437
2023-11-23,400.5,402.5,405.0,400.5,402.8,4838680,1948312363.15,94371
2023-11-22,402.5,400.25,402.6,399.1,400.5,2659291,1065789721.1,65892
2023-11-21,402.6,400.65,402.6,400.05,400.55,2720124,1091038207.5,72441
2023-11-20,393.2,400.2,401.1,393.2,400.15,4305248,1718988192.75,85321
2023-11-17,398.0,395.4,399.0,394.5,394.9,3943464,1563830351.0,84552
2023-11-16,391.65,397.1,399.5,389.3,396.75,6921788,2738242303.6,124565
2023-11-15,385.55,391.65,392.25,384.25,391.45,5396259,2101967980.65,125802
2023-11-13,382.6,381.65,382.9,380.0,382.05,1792951,683234046.35,63717
2023-11-12,383.4,382.45,383.4,381.45,383.0,1011662,386919203.35,39907
2023-11-10,380.3,379.3,381.8,377.0,379.75,5355350,2027215362.3,95452
2023-11-09,383.0,380.85,384.0,379.7,381.2,4615563,1760564503.1,85875
2023-11-08,384.6,382.2,385.85,381.5,382.6,3551026,1360752175.85,81593
2023-11-07,384.9,383.3,387.0,382.85,384.0,2846089,1094413257.15,73620
2023-11-06,386.0,384.65,386.45,383.0,385.45,2469968,950811621.7,64533
2023-11-03,386.0,383.55,386.7,382.65,383.75,2645764,1016051515.8,66538
2023-11-02,383.8,383.65,385.15,382.1,384.0,2371365,909680621.95,76797
2023-11-01,383.85,380.95,385.55,380.15,381.0,2120976,812033838.95,63993
2023-10-31,383.2,381.8,384.1,379.15,382.9,3076768,1174257250.05,81595
