DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-11-06,1211.95,1204.1,1217.0,1197.25,1203.2,1262938,1520125233.3,63013
2023-11-03,1215.0,1206.35,1219.75,1204.0,1205.0,772013,935609041.85,37294
2023-11-02,1205.5,1208.5,1211.85,1194.65,1209.75,1556467,1877060626.05,83742
2023-11-01,1200.0,1201.25,1208.7,1186.55,1200.35,1051902,1260627035.1,53762
2023-10-31,1199.95,1200.0,1206.1,1191.1,1203.1,1720955,2062226334.55,70614
2023-10-30,1186.0,1193.45,1212.4,1177.5,1194.5,2853500,3423038183.9,113814
2023-10-27,1152.0,1174.25,1197.9,1149.25,1176.0,1775011,2087973738.8,71513
2023-10-26,1154.8,1150.85,1155.0,1132.0,1152.0,2016469,2305175639.55,166796
2023-10-25,1184.5,1157.45,1188.75,1154.05,1161.25,1433911,1669655086.75,67298
2023-10-23,1200.0,1183.8,1210.2,1178.45,1185.7,957929,1141233890.65,60481
2023-10-20,1221.85,1200.2,1221.85,1198.25,1200.4,692067,834032761.35,47962
2023-10-19,1210.5,1223.3,1225.0,1189.65,1222.0,2157683,2613385308.1,87930
2023-10-18,1185.0,1210.6,1219.45,1176.15,1214.55,7367540,8888867093.25,160333
2023-10-17,1168.0,1173.5,1178.05,1160.65,1172.0,877856,1029773163.8,40669
2023-10-16,1166.3,1164.4,1170.1,1158.8,1165.5,802207,935397505.65,44994
2023-10-13,1156.0,1167.75,1169.2,1150.0,1167.8,940547,1095707800.45,55605
2023-10-12,1179.05,1157.9,1186.35,1152.45,1159.0,2533930,2942214395.2,94256
2023-10-11,1151.0,1171.95,1175.0,1146.5,1171.05,1465239,1712592882.55,66942
2023-10-10,1160.1,1155.05,1163.6,1150.5,1153.65,822199,949276480.25,50367
2023-10-09,1159.0,1159.5,1166.85,1151.65,1159.65,822110,953752979.45,36596
2023-10-06,1165.0,1163.0,1181.7,1160.45,1160.45,928951,1084715867.85,51150
2023-10-05,1170.1,1161.1,1172.95,1155.25,1162.4,1446743,1682177658.2,105658
2023-10-04,1178.1,1167.05,1185.0,1161.3,1165.8,999123,1169386014.9,69615
2023-10-03,1184.0,1182.8,1185.7,1170.95,1183.0,1581125,1869606296.25,61774
2023-09-29,1169.9,1186.15,1199.2,1165.0,1189.0,1878381,2231452144.0,97400
2023-09-28,1180.5,1164.05,1185.0,1158.9,1164.3,1303811,1522974534.0,91373
2023-09-27,1187.0,1180.5,1189.0,1170.1,1180.0,2165043,2556285921.55,80463
2023-09-26,1181.0,1163.65,1185.0,1161.5,1163.15,1056359,1238033309.1,47251
2023-09-25,1186.0,1179.35,1197.15,1177.0,1177.8,1267600,1500055822.6,35092
2023-09-22,1207.4,1185.9,1209.1,1168.55,1186.4,2796199,3308010853.15,75486
2023-09-21,1232.0,1206.4,1240.25,1204.0,1209.1,1895731,2304875159.55,89908
2023-09-20,1243.25,1239.7,1252.6,1236.0,1240.2,1701959,2114968701.9,64777
2023-09-18,1240.95,1240.55,1257.6,1237.05,1244.0,1864030,2322728841.05,56089
2023-09-15,1234.8,1235.5,1241.95,1228.3,1235.0,1938487,2392529048.65,56569
2023-09-14,1230.0,1233.75,1244.25,1225.0,1234.8,1713142,2112644634.55,111102
2023-09-13,1242.0,1228.5,1250.0,1223.3,1226.85,1627384,2004415662.2,62990
2023-09-12,1247.95,1239.8,1259.9,1234.95,1238.7,1132283,1408271837.1,67123
2023-09-11,1244.6,1247.35,1252.75,1236.5,1247.9,1162138,1443017580.4,54182
