DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-11-13,2322.9,2314.6,2324.6,2311.7,2315.1,1927405,4464162629.45,101023
2023-11-12,2326.05,2330.65,2332.0,2322.5,2330.9,709922,1653202914.45,54331
2023-11-10,2305.55,2314.9,2316.35,2298.05,2315.9,3867477,8928695452.35,144846
2023-11-09,2335.85,2310.55,2335.9,2304.2,2311.45,7256805,16810455976.65,264597
2023-11-08,2332.0,2335.9,2341.0,2321.75,2333.75,3942247,9208287625.15,150160
2023-11-07,2334.05,2323.8,2339.1,2319.55,2323.1,3480102,8102678736.35,164587
2023-11-06,2332.3,2339.0,2340.0,2325.6,2339.0,5323652,12426455971.7,159387
2023-11-03,2327.2,2319.7,2334.95,2315.75,2319.0,4425078,10292487339.95,157991
2023-11-02,2313.95,2320.2,2324.3,2307.95,2319.0,5281052,12233275556.75,156658
2023-11-01,2289.15,2297.4,2317.5,2275.2,2294.7,5154595,11865133915.6,172384
2023-10-31,2328.0,2287.9,2328.0,2282.9,2289.0,6404219,14747354996.7,285198
2023-10-30,2274.0,2312.5,2325.0,2269.95,2309.0,8406652,19422270423.05,352375
2023-10-27,2240.0,2265.8,2273.5,2235.95,2266.15,5885542,13315143153.75,247495
2023-10-26,2251.0,2226.5,2258.0,2220.3,2223.0,7611267,16994910102.9,349499
2023-10-25,2250.05,2257.95,2281.2,2243.0,2256.0,5810344,13140035999.6,276253
2023-10-23,2290.0,2263.2,2306.25,2255.25,2262.9,3926981,8966223109.05,229519
2023-10-20,2300.0,2299.1,2314.7,2296.3,2296.6,4456656,10261859218.6,236801
2023-10-19,2312.0,2306.15,2321.8,2301.0,2304.65,6016278,13898102710.85,306999
2023-10-18,2355.25,2324.0,2367.0,2321.0,2321.4,4459160,10442944805.7,197131
2023-10-17,2356.0,2355.25,2359.7,2341.3,2356.2,3964090,9317649591.75,132520
2023-10-16,2345.0,2344.05,2354.55,2336.0,2345.8,2964518,6956522674.05,174031
2023-10-13,2340.0,2349.3,2357.5,2329.15,2344.95,5075158,11898999931.9,196532
2023-10-12,2343.85,2349.4,2359.35,2338.15,2347.35,6277225,14756275104.15,231306
2023-10-11,2314.45,2345.05,2349.7,2313.0,2345.75,4907059,11452367310.5,199005
2023-10-10,2306.55,2308.4,2317.9,2303.75,2310.3,5118016,11817666201.85,240623
2023-10-09,2308.1,2298.25,2311.95,2295.0,2295.15,3788439,8724597410.05,215473
2023-10-06,2317.05,2318.0,2324.8,2312.05,2317.65,2715513,6296730156.55,165579
2023-10-05,2319.25,2314.1,2329.4,2309.0,2312.9,5476841,12692181391.5,220239
2023-10-04,2309.0,2314.15,2319.0,2295.1,2314.1,5143193,11851141943.5,261511
2023-10-03,2329.95,2318.15,2335.6,2316.0,2318.4,4429528,10285526678.7,192207
2023-09-29,2341.8,2345.0,2369.1,2334.1,2342.05,6171007,14507525911.6,178898
2023-09-28,2383.0,2334.1,2383.0,2325.0,2339.0,7259173,17073806729.35,283992
2023-09-27,2343.5,2368.9,2371.8,2338.5,2371.0,5861389,13807821671.35,233089
2023-09-26,2338.55,2342.5,2350.2,2335.6,2340.0,5043891,11814581030.5,168749
2023-09-25,2350.4,2340.45,2360.7,2335.1,2339.5,7127442,16703285186.15,266745
2023-09-22,2376.0,2354.95,2382.45,2350.0,2356.5,9588393,22661897562.05,302933
2023-09-21,2374.95,2364.8,2390.1,2360.0,2365.0,6113091,14492294094.8,292445
2023-09-20,2423.05,2382.15,2427.6,2355.0,2380.65,28540942,67864489357.8,350883
2023-09-18,2440.05,2436.45,2451.0,2432.05,2434.0,3758150,9178715239.4,135713
2023-09-15,2468.0,2457.85,2468.0,2449.5,2452.5,12734296,31304996690.8,172228
2023-09-14,2460.0,2453.3,2465.8,2445.0,2456.0,4604818,11301141212.65,259706
2023-09-13,2440.0,2451.05,2462.65,2426.25,2450.1,6401669,15695491695.65,153034
2023-09-12,2483.0,2438.85,2483.0,2435.95,2437.0,8127833,19927245602.5,230277
2023-09-11,2452.0,2474.6,2476.85,2452.0,2473.05,6635537,16382249910.1,216515
2023-09-08,2440.0,2448.2,2456.0,2422.95,2451.0,11554644,28145173638.3,203161
2023-09-07,2421.7,2432.0,2438.25,2411.0,2431.0,6826286,16552769825.75,176371
2023-09-06,2421.1,2428.7,2436.15,2417.25,2426.35,4100185,9953029723.5,168907
2023-09-05,2420.0,2423.6,2433.95,2412.45,2426.0,4337938,10511762468.35,160296
2023-09-04,2412.65,2410.7,2423.65,2405.3,2411.05,4673813,11280512429.6,167154
2023-09-01,2406.55,2412.65,2425.65,2401.65,2411.4,9056421,21856799694.25,285753
2023-08-31,2423.0,2407.0,2425.0,2399.9,2408.0,10819300,26077096813.9,263614
2023-08-30,2432.0,2418.05,2443.0,2415.0,2419.4,6084473,14764544103.55,220096
2023-08-29,2452.05,2420.35,2453.45,2408.15,2422.0,8438322,20464839388.1,319838
2023-08-28,2472.0,2443.75,2484.0,2431.1,2436.95,6290413,15508240986.2,248985
2023-08-25,2456.0,2468.35,2505.0,2442.6,2461.9,11111200,27503665768.5,309987
2023-08-24,2539.9,2479.8,2539.9,2471.0,2475.8,7070010,17712228152.35,277360
2023-08-23,2524.2,2522.2,2542.85,2516.95,2518.2,4758976,12032500977.45,186890
2023-08-22,2516.9,2519.4,2537.95,2499.0,2523.0,3856522,9728035039.3,234127
2023-08-21,2539.95,2520.0,2555.45,2515.65,2519.5,4610873,11659793136.25,186604
