DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-10-31,430.0,428.4,433.35,427.9,428.45,8620154,3706553452.7,163866
2023-10-30,434.55,430.45,437.15,428.35,431.5,7618033,3282778364.6,138620
2023-10-27,434.35,433.75,436.8,432.2,433.9,13132487,5699453016.85,155586
2023-10-26,429.55,434.35,436.6,429.55,432.65,18801214,8151061459.6,240264
2023-10-25,436.9,432.7,438.0,427.05,432.3,10889221,4707251503.7,227701
2023-10-23,438.0,435.9,439.95,433.1,434.6,7275471,3176839602.2,170442
2023-10-20,445.0,438.3,449.0,437.35,438.0,13020371,5738637212.35,347081
2023-10-19,449.75,450.4,454.9,446.85,450.05,9465463,4265143431.25,228007
2023-10-18,454.25,451.65,458.2,451.0,451.7,6894947,3133663541.95,155654
2023-10-17,449.8,453.45,454.5,449.0,453.5,6936218,3141820069.9,119724
2023-10-16,448.0,448.95,451.0,446.2,448.2,4214958,1894305840.25,103179
2023-10-13,449.85,448.35,451.8,447.0,448.0,7632483,3432558181.35,135556
2023-10-12,449.65,450.7,452.5,446.15,451.0,11774487,5304011557.7,127972
2023-10-11,447.2,448.25,449.45,444.8,447.5,7651513,3423693653.2,119123
2023-10-10,440.45,444.4,444.85,440.45,444.7,5014758,2223894873.1,141128
2023-10-09,440.95,440.45,443.2,437.25,439.65,5611154,2472316260.35,131925
2023-10-06,437.85,442.15,443.6,436.65,442.6,8418580,3718997999.1,146980
2023-10-05,440.0,436.05,440.5,435.05,436.6,10030257,4386355806.9,194053
2023-10-04,439.75,436.1,441.7,433.3,435.35,13396709,5862143527.85,219368
2023-10-03,441.0,439.75,442.9,439.25,439.65,7481883,3296673214.6,186900
2023-09-29,442.0,444.4,445.6,439.2,443.5,8160058,3617550656.8,138714
2023-09-28,449.95,440.75,449.95,439.6,441.15,10216736,4520850400.35,155680
2023-09-27,442.45,449.15,449.8,438.8,449.35,10490786,4676596819.75,161084
2023-09-26,443.6,442.45,444.5,439.7,442.8,5327833,2354954516.75,114357
2023-09-25,443.1,442.6,444.8,438.35,443.1,5782955,2554632224.3,126229
2023-09-22,447.5,443.1,448.4,442.25,442.5,7506309,3335288560.3,195313
2023-09-21,452.8,447.5,453.55,444.5,447.5,10719470,4795986148.2,187202
2023-09-20,451.7,452.95,455.1,449.55,452.85,9959649,4512476237.45,149782
2023-09-18,448.35,452.05,454.0,446.2,451.95,8197425,3704274692.05,134382
2023-09-15,448.05,448.35,452.1,447.0,447.9,15077136,6771163336.05,158789
2023-09-14,455.9,449.95,455.9,447.15,450.35,14430930,6496313051.65,216539
2023-09-13,452.2,453.5,457.0,451.1,453.3,11813170,5362135445.7,169384
2023-09-12,448.9,451.15,454.3,445.6,451.0,14406441,6491027758.45,203436
2023-09-11,446.0,447.2,448.1,442.65,447.95,9320577,4148410205.85,165092
2023-09-08,447.9,442.65,447.9,441.85,442.7,9939517,4407778233.95,138338
2023-09-07,448.8,445.9,449.0,444.6,446.0,8090369,3608394716.25,119372
