SYMBOL,SERIES,CLOSE
BATAINDIA,EQ,1449.3
BAYERCROP,EQ,5858.1
BBETF0432,EQ,1111.81
BBL,EQ,4697.15
BBNPPGOLD,EQ,61.95
BBTC,EQ,1662.7
BBTCL,EQ,266.85
BCG,EQ,18.5
BCLIND,EQ,72.25
BDL,EQ,1669.05
BECTORFOOD,EQ,1183.1
BEDMUTHA,EQ,281.75
BEL,EQ,189.7
BEML,EQ,3200.9
BEPL,EQ,107.8
BERGEPAINT,EQ,554.7
BFINVEST,EQ,515.75
BFSI,EQ,20.44
BFUTILITIE,EQ,590.3
BGRENERGY,EQ,94.85
BHAGCHEM,EQ,1484.85
BHAGERIA,EQ,154.7
BHAGYANGR,EQ,100.25
BHANDARI,EQ,7.95
BHARATFORG,EQ,1200.25
BHARATGEAR,EQ,119.2
BHARATRAS,EQ,9134.1
BHARTIARTL,EQ,1160.55
BHEL,EQ,219.9
BIGBLOC,EQ,174.45
BIKAJI,EQ,573.8
BIOCON,EQ,258.7
BIOFILCHEM,EQ,66.3
BIRLACABLE,EQ,274.9
BIRLACORPN,EQ,1395.3
BIRLAMONEY,EQ,133.45
BLAL,EQ,202.2
BLBLIMITED,EQ,30.75
BLISSGVS,EQ,111.55
BLKASHYAP,EQ,66.15
BLS,EQ,389.4
BLUEDART,EQ,6618.45
BLUEJET,EQ,359.75
BLUESTARCO,EQ,1060.4
BODALCHEM,EQ,80.9
BOMDYEING,EQ,181.95
BOROLTD,EQ,353.2
BORORENEW,EQ,623.05
BOSCHLTD,EQ,22779.3
BPCL,EQ,474.4
BRIGADE,EQ,974.95
BRITANNIA,EQ,5141.9
BRNL,EQ,85.8
BROOKS,EQ,149.85
BSE,EQ,2121.95
BSE500IETF,EQ,32.42
BSHSL,EQ,253.2
BSL,EQ,205.45
BSLGOLDETF,EQ,55.55
BSLNIFTY,EQ,24.27
BSLSENETFG,EQ,69.21
BSOFT,EQ,818.25
BTML,EQ,214.75
BUTTERFLY,EQ,1010.75
CAMLINFINE,EQ,128.25
CAMPUS,EQ,267.75
CAMS,EQ,2747.2
CANBK,EQ,465.3
CANFINHOME,EQ,770.5
CANTABIL,EQ,253.9
CAPACITE,EQ,268.6
CAPLIPOINT,EQ,1446.5
CAPTRUST,EQ,106.9
CARBORUNIV,EQ,1149.5
CAREERP,EQ,262.7
CARERATING,EQ,1034.45
CARTRADE,EQ,742.4
CARYSIL,EQ,866.15
CASTROLIND,EQ,175.1
CCL,EQ,641.9
CDSL,EQ,1770.2
CEATLTD,EQ,2833.85
CELLO,EQ,838.85
CENTENKA,EQ,436.3
CENTRALBK,EQ,54.35
CENTRUM,EQ,34.05
CENTUM,EQ,1552.8
CENTURYPLY,EQ,792.65
CENTURYTEX,EQ,1345.3
CERA,EQ,8186.85
CESC,EQ,133.3
CGCL,EQ,940.35
CGPOWER,EQ,463.1
CHALET,EQ,761.9
CHAMBLFERT,EQ,368.6
CHEMBOND,EQ,562.05
CHEMCON,EQ,274.65
CHEMFAB,EQ,402.5
CHEMPLASTS,EQ,472.85
CHENNPETRO,EQ,799.95
CHEVIOT,EQ,1480.65
CHOICEIN,EQ,541.2
CHOLAFIN,EQ,1244.7
CHOLAHLDNG,EQ,1101.5
CIEINDIA,EQ,485.4
CIGNITITEC,EQ,985.6
CIPLA,EQ,1369.65
CLEAN,EQ,1442.0
CLEDUCATE,EQ,106.65
CLSEL,EQ,249.6
CMSINFO,EQ,389.5
COALINDIA,EQ,389.4
COASTCORP,EQ,299.05
COCHINSHIP,EQ,871.6
COFFEEDAY,EQ,61.3
COFORGE,EQ,6205.05
COLPAL,EQ,2492.55
COMMOIETF,EQ,77.15
COMSYN,EQ,87.6
CONCOR,EQ,828.65
CONCORDBIO,EQ,1386.1
CONFIPET,EQ,85.65
CONSOFINVT,EQ,286.3
CONSUMBEES,EQ,105.0
CONSUMIETF,EQ,96.92
CONTROLPR,EQ,1003.3
CORDSCABLE,EQ,122.0
COROMANDEL,EQ,1129.0
COSMOFIRST,EQ,631.6
CPSEETF,EQ,71.41
CRAFTSMAN,EQ,4749.0
CREATIVE,EQ,862.55
CREATIVEYE,EQ,6.25
CREDITACC,EQ,1591.4
CREST,EQ,337.95
CRISIL,EQ,3817.25
CROMPTON,EQ,305.1
CSBBANK,EQ,374.2
CSLFINANCE,EQ,436.0
CTE,EQ,77.4
CUB,EQ,141.2
CUMMINSIND,EQ,2161.9
CYBERMEDIA,EQ,35.35
CYBERTECH,EQ,186.35
CYIENT,EQ,2019.65
CYIENTDLM,EQ,679.45
DABUR,EQ,531.6
DALBHARAT,EQ,2205.05
DALMIASUG,EQ,397.45
DAMODARIND,EQ,58.2
DATAMATICS,EQ,683.95
DATAPATTNS,EQ,1858.15
DAVANGERE,EQ,94.15
DBCORP,EQ,343.8
DBL,EQ,375.2
DBOL,EQ,138.95
DBREALTY,EQ,249.4
DCAL,EQ,190.0
DCBBANK,EQ,135.25
DCI,EQ,199.8
DCM,EQ,85.25
DCMNVL,EQ,187.35
DCMSHRIRAM,EQ,999.05
DCMSRIND,EQ,186.45
DCW,EQ,61.95
DCXINDIA,EQ,349.8
DECCANCE,EQ,605.6
DEEPAKFERT,EQ,637.4
DEEPAKNTR,EQ,2236.4
DEEPENR,EQ,194.6
DEEPINDS,EQ,247.15
DELHIVERY,EQ,401.3
DELPHIFX,EQ,292.3
DELTACORP,EQ,138.0
DELTAMAGNT,EQ,97.35
DEN,EQ,59.5
DENORA,EQ,1363.9
DEVYANI,EQ,178.15
DGCONTENT,EQ,19.5
DHAMPURSUG,EQ,253.1
DHANBANK,EQ,51.2
DHANI,EQ,38.1
DHANUKA,EQ,1199.15
DHARMAJ,EQ,255.05
DHRUV,EQ,64.55
DHUNINV,EQ,1296.8
DIAMINESQ,EQ,502.7
DIAMONDYD,EQ,1293.9
DICIND,EQ,492.85
DIGIDRIVE,EQ,62.15
DIGISPICE,EQ,32.65
DIL,EQ,9.0
DISHTV,EQ,19.0
DIVGIITTS,EQ,928.25
DIVISLAB,EQ,3578.9
DIVOPPBEES,EQ,70.19
DIXON,EQ,5879.45
DJML,EQ,152.3
DLF,EQ,758.65
DLINKINDIA,EQ,315.0
DMART,EQ,3734.25
DMCC,EQ,317.35
DODLA,EQ,879.55
DOLATALGO,EQ,63.55
DOLLAR,EQ,456.1
DOMS,EQ,1450.15
DONEAR,EQ,102.45
DPABHUSHAN,EQ,726.2
DPSCLTD,EQ,25.5
DPWIRES,EQ,541.85
DREAMFOLKS,EQ,550.9
DREDGECORP,EQ,815.45
DRREDDY,EQ,5855.5
DSPBANKETF,EQ,45.42
DSPGOLDETF,EQ,61.94
DSPITETF,EQ,36.81
DSPN50ETF,EQ,218.97
DSPNEWETF,EQ,275.52
DSPPSBKETF,EQ,59.43
DSPPVBKETF,EQ,23.18
DSPQ50ETF,EQ,209.2
DSPSENXETF,EQ,72.31
DSPSILVETF,EQ,70.47
DSSL,EQ,661.15
DTIL,EQ,234.9
DVL,EQ,413.2
DWARKESH,EQ,84.5
DYCL,EQ,419.65
DYNAMATECH,EQ,6526.8
DYNPRO,EQ,280.7
EASEMYTRIP,EQ,47.1
EBBETF0425,EQ,1181.14
EBBETF0430,EQ,1329.02
EBBETF0431,EQ,1184.55
EBBETF0433,EQ,1083.87
ECLERX,EQ,2609.85
EDELWEISS,EQ,72.65
EGOLD,EQ,64.15
EICHERMOT,EQ,3616.45
EIDPARRY,EQ,616.8
EIFFL,EQ,142.4
EIHAHOTELS,EQ,609.6
EIHOTEL,EQ,310.45
EKC,EQ,132.9
ELDEHSG,EQ,778.85
ELECON,EQ,1036.2
ELECTCAST,EQ,159.75
ELGIEQUIP,EQ,580.55
ELIN,EQ,167.5
EMAMILTD,EQ,492.5
EMAMIPAP,EQ,131.3
EMIL,EQ,218.7
EMMBI,EQ,130.25
EMSLIMITED,EQ,455.9
EMUDHRA,EQ,450.0
ENDURANCE,EQ,1979.85
ENGINERSIN,EQ,232.55
ENIL,EQ,246.9
EPIGRAL,EQ,994.2
EPL,EQ,198.2
EQUITASBNK,EQ,106.3
ERIS,EQ,889.4
EROSMEDIA,EQ,24.85
ESABINDIA,EQ,5489.6
ESAFSFB,EQ,69.5
ESCORTS,EQ,2945.3
ESG,EQ,35.34
ESILVER,EQ,73.45
ESSARSHPNG,EQ,32.1
ESTER,EQ,96.45
ETHOSLTD,EQ,2451.9
EUROTEXIND,EQ,13.1
EVEREADY,EQ,342.9
EVERESTIND,EQ,1275.55
EXCELINDUS,EQ,889.25
EXIDEIND,EQ,310.4
EXPLEOSOL,EQ,1417.7
EXXARO,EQ,116.9
FACT,EQ,886.85
FAIRCHEMOR,EQ,1237.95
FAZE3Q,EQ,412.95
FCL,EQ,321.75
FCSSOFT,EQ,4.8
FDC,EQ,417.25
FEDERALBNK,EQ,141.8
FEDFINA,EQ,131.0
FIBERWEB,EQ,42.85
FIEMIND,EQ,2371.9
FILATEX,EQ,61.25
FINCABLES,EQ,1106.8
FINEORG,EQ,4671.3
FINIETF,EQ,22.47
FINOPB,EQ,323.6
FINPIPE,EQ,225.05
FIVESTAR,EQ,749.85
FLAIR,EQ,322.25
FLEXITUFF,EQ,49.8
FLUOROCHEM,EQ,3569.35
FMCGIETF,EQ,570.17
FMGOETZE,EQ,367.8
FOCUS,EQ,194.55
FOODSIN,EQ,156.25
FORTIS,EQ,430.15
FOSECOIND,EQ,3617.6
FSL,EQ,194.8
FUSION,EQ,626.8
GABRIEL,EQ,376.95
GAEL,EQ,367.9
GAIL,EQ,165.4
GALAXYSURF,EQ,2710.2
GALLANTT,EQ,180.4
GANDHAR,EQ,250.75
GANDHITUBE,EQ,803.05
GANECOS,EQ,1033.85
GANESHBE,EQ,166.85
GANESHHOUC,EQ,743.65
GANGESSECU,EQ,126.65
GARFIBRES,EQ,3670.35
GATECHDVR,EQ,7.1
GATEWAY,EQ,109.45
GEECEE,EQ,257.5
GENESYS,EQ,493.25
GENUSPAPER,EQ,21.35
GENUSPOWER,EQ,252.15
GEOJITFSL,EQ,88.2
GEPIL,EQ,245.5
GESHIP,EQ,1007.7
GFLLIMITED,EQ,92.45
GHCL,EQ,583.25
GHCLTEXTIL,EQ,79.65
GICHSGFIN,EQ,252.25
GICRE,EQ,352.65
GILLETTE,EQ,6506.2
GILT5YBEES,EQ,54.57
GINNIFILA,EQ,37.35
GIPCL,EQ,197.55
GLAND,EQ,1899.05
GLAXO,EQ,2193.25
GLENMARK,EQ,891.1
GLOBAL,EQ,314.1
GLOBUSSPR,EQ,811.1
GLS,EQ,836.2
GMBREW,EQ,648.05
GMDCLTD,EQ,457.75
GMMPFAUDLR,EQ,1536.25
GMRINFRA,EQ,77.05
GMRP&UI,EQ,49.95
GNA,EQ,481.6
GNFC,EQ,732.55
GOACARBON,EQ,774.5
GOCLCORP,EQ,498.6
GOCOLORS,EQ,1116.05
GODFRYPHLP,EQ,2261.15
GODREJAGRO,EQ,534.3
GODREJCP,EQ,1157.3
GODREJIND,EQ,845.5
GODREJPROP,EQ,2326.9
GOKEX,EQ,915.8
GOKUL,EQ,58.5
GOKULAGRO,EQ,121.9
GOLDBEES,EQ,52.72
GOLDETF,EQ,62.38
GOLDIAM,EQ,179.95
GOLDIETF,EQ,54.43
GOLDSHARE,EQ,52.95
GOODLUCK,EQ,1009.4
GPIL,EQ,759.65
GPPL,EQ,163.6
GRANULES,EQ,414.2
GRAPHITE,EQ,530.25
GRASIM,EQ,2076.5
GRAVITA,EQ,943.15
GREAVESCOT,EQ,164.8
GREENLAM,EQ,516.1
GREENPANEL,EQ,396.3
GREENPLY,EQ,236.4
GREENPOWER,EQ,23.15
GRINDWELL,EQ,2380.3
GRINFRA,EQ,1163.0
GRMOVER,EQ,196.4
GROBTEA,EQ,959.25
GRPLTD,EQ,5005.85
GRSE,EQ,909.9
GRWRHITECH,EQ,1652.2
GSEC10IETF,EQ,223.6
GSEC10YEAR,EQ,25.29
GSEC5IETF,EQ,54.76
GSFC,EQ,307.1
GSLSU,EQ,293.25
GSPL,EQ,361.15
GSS,EQ,162.55
GTLINFRA,EQ,1.75
GTPL,EQ,198.9
GUFICBIO,EQ,348.5
GUJALKALI,EQ,769.55
GUJAPOLLO,EQ,302.15
GUJGASLTD,EQ,552.45
GULFOILLUB,EQ,773.5
GULPOLY,EQ,204.5
HAL,EQ,2903.8
HAPPSTMNDS,EQ,866.55
HAPPYFORGE,EQ,969.5
HARDWYN,EQ,44.5
HARIOMPIPE,EQ,599.65
HARSHA,EQ,408.7
HATHWAY,EQ,23.2
HATSUN,EQ,1110.8
HAVELLS,EQ,1290.35
HBLPOWER,EQ,488.95
HCC,EQ,36.35
HCG,EQ,355.35
HCL-INSYS,EQ,23.2
HCLTECH,EQ,1550.25
HDFCAMC,EQ,3428.65
HDFCBANK,EQ,1434.9
HDFCBSE500,EQ,30.96
HDFCGOLD,EQ,54.31
HDFCGROWTH,EQ,110.39
HDFCLIFE,EQ,579.0
HDFCLIQUID,EQ,1000.01
HDFCLOWVOL,EQ,17.22
HDFCMID150,EQ,17.5
HDFCMOMENT,EQ,28.2
HDFCNEXT50,EQ,54.28
HDFCNIF100,EQ,22.48
HDFCNIFBAN,EQ,454.9
HDFCNIFIT,EQ,371.82
HDFCNIFTY,EQ,233.77
HDFCPVTBAN,EQ,234.21
HDFCQUAL,EQ,49.91
HDFCSENSEX,EQ,778.16
HDFCSILVER,EQ,70.31
HDFCSML250,EQ,145.68
HDFCVALUE,EQ,120.5
HEADSUP,EQ,15.9
HEALTHIETF,EQ,112.43
HEALTHY,EQ,11.25
HEG,EQ,1729.95
HEIDELBERG,EQ,225.3
HEMIPROP,EQ,177.25
HERANBA,EQ,378.15
HERCULES,EQ,427.25
HERITGFOOD,EQ,327.4
HEROMOTOCO,EQ,4442.15
HESTERBIO,EQ,1502.25
HEUBACHIND,EQ,540.6
HEXATRADEX,EQ,157.25
HFCL,EQ,105.75
HGINFRA,EQ,920.15
HGS,EQ,960.5
HIKAL,EQ,281.8
HIL,EQ,2908.95
HILTON,EQ,129.2
